construction_id,attack_id,attack_name,target,detected,accepted,detection_mechanism,security_control,exception_type,execution_time_ms
ADAPTIVE-STANDARD-V1,ATK-00,Baseline Legitimate Transmission,AIRCRAFT-001-FCC -> GROUND-STATION-001 Secure Session,False,True,Cryptographic Verification Passed,End-to-End AEAD & Session Validation,None,1154.806
ADAPTIVE-STANDARD-V1,ATK-01,Ciphertext Tampering,AES-256-GCM Encrypted Payload,True,False,AES-GCM Authentication Tag Validation,AEAD Integrity Verification,AuthenticationTagError,809.118
ADAPTIVE-STANDARD-V1,ATK-02,Authentication Tag Tampering,AES-256-GCM Authentication Tag,True,False,Cryptographic Tag Invariant Check,AEAD Tag Authenticity,AuthenticationTagError,1301.4958
ADAPTIVE-STANDARD-V1,ATK-03,AAD Metadata Tampering,Channel Additional Authenticated Data (AAD),True,False,AAD Cryptographic Binding Verification,AEAD Header Binding,AuthenticationTagError,494.4798
ADAPTIVE-STANDARD-V1,ATK-04,Ed25519 Signature Forgery,Classical Handshake Signature Layer,True,False,Ed25519 Public Key Cryptographic Verification,Mutual Classical Authentication,ConstructionAuthenticationError,511.9555
ADAPTIVE-STANDARD-V1,ATK-05,SLH-DSA Signature Forgery,Post-Quantum SLH-DSA-SHAKE_128F Signature Layer,True,False,Bypassed (Construction uses Classical Auth),Hybrid Dual Authentication (SLH-DSA),N/A (Classical Only),636.7982
ADAPTIVE-STANDARD-V1,ATK-06,Transcript Modification / Downgrade,Session Construction ID & Transcript Binding,True,False,Canonical Transcript Binding & AAD Session Invariant Check,Downgrade Attack Defense,ConstructionError,328.8697
ADAPTIVE-STANDARD-V1,ATK-07,Cross-Session Injection,Session Isolation Boundary,True,False,AES-GCM Key & AAD Mismatch Detection,Cryptographic Session Separation,AuthenticationTagError,191.7214
ADAPTIVE-STANDARD-V1,ATK-08,Receiver Routing Manipulation,Component Identity Verification,True,False,Receiver Component ID Invariant Validation,Entity Identity Authorization,ConstructionError,441.6654
ADAPTIVE-STANDARD-V1,ATK-09,Message Replay Attack,Anti-Replay Nonce Filter,True,False,Session Nonce Cache & Monotonic Freshness Filter,Anti-Replay Protection,ConstructionReplayError,551.8116
